일자,요일,총계,내국인,외국인
20171110,금,41974,39894,2080
20171111,토,42602,40617,1985
20171112,일,40854,38835,2019
20171113,월,37944,36311,1633
20171114,화,36509,33805,2704
20171115,수,39238,37081,2157
20171116,목,39378,37557,1821
20171117,금,40804,38632,2172
20171118,토,39688,37887,1801
20171119,일,36657,34854,1803
20171120,월,35003,33308,1695
20171121,화,32293,30504,1789
20171122,수,34696,32601,2095
20171123,목,38291,36367,1924
20171124,금,41003,39100,1903
20171125,토,39877,37770,2107
20171126,일,36960,35090,1870
20171127,월,34589,32983,1606
20171128,화,30975,28254,2721
20171129,수,30077,27853,2224
20171130,목,36238,34415,1823
20171201,금,37538,35571,1967
20171202,토,36781,34822,1959
20171203,일,33598,31683,1915
20171204,월,33831,32247,1584
20171205,화,30322,28480,1842
20171206,수,31507,29365,2142
20171207,목,34769,32757,2012
20171208,금,36166,33599,2567
20171209,토,36304,34296,2008
20171210,일,33405,31533,1872
20171211,월,31632,29831,1801
20171212,화,30054,27870,2184
20171213,수,32152,29655,2497
20171214,목,35357,33480,1877
20171215,금,31698,29430,2268
20171216,토,36928,34584,2344
20171217,일,35556,33553,2003
20171218,월,35751,33655,2096
20171219,화,34240,31879,2361
20171220,수,33446,31122,2324
20171221,목,35524,33728,1796
20171222,금,37909,35799,2110
20171223,토,44236,41469,2767
20171224,일,36044,34049,1995
20171225,월,36487,34583,1904
20171226,화,38244,36238,2006
20171227,수,36855,34352,2503
20171228,목,38608,36559,2049
20171229,금,39787,37474,2313
20171230,토,44308,41479,2829
20171231,일,39107,36859,2248
